groupname,overallocation,conflicts,undersupport,unwilling,unpreferred
MagicEVO,7,4,0,2,1
MagicEVO,0,0,2,3,0
MagicEVO,1,0,1,3,1
MagicEVO,0,0,5,0,0
MagicEVO,1,0,2,0,2
MagicEVO,9,0,0,7,1
MagicEVO,0,0,4,1,0
MagicEVO,7,2,2,0,0
MagicEVO,5,2,0,4,0
MagicEVO,1,0,3,1,0
MagicEVO,2,0,3,0,0
MagicEVO,6,2,0,3,0
MagicEVO,2,0,1,1,2
MagicEVO,0,0,3,0,2
MagicEVO,3,0,1,2,0
MagicEVO,2,0,0,8,3
MagicEVO,2,1,1,2,1
MagicEVO,0,0,2,2,1
MagicEVO,14,6,0,0,4
MagicEVO,4,0,0,11,0
MagicEVO,0,0,1,4,0
MagicEVO,3,1,2,1,0
MagicEVO,8,0,0,6,2
MagicEVO,9,2,0,2,0
MagicEVO,0,0,1,2,3
MagicEVO,1,1,0,10,0
MagicEVO,4,1,0,6,0
MagicEVO,6,4,2,0,0
MagicEVO,3,0,0,8,2
MagicEVO,5,1,0,5,0
MagicEVO,4,0,0,6,5
MagicEVO,8,3,1,1,0
MagicEVO,7,3,1,1,1
MagicEVO,16,6,0,0,3
MagicEVO,7,4,1,0,1
MagicEVO,2,0,2,0,1
MagicEVO,8,1,0,4,3
MagicEVO,2,1,0,9,0
MagicEVO,1,0,4,0,0
MagicEVO,0,0,4,0,1
MagicEVO,1,0,2,2,0
MagicEVO,1,1,0,8,1
MagicEVO,3,0,0,7,4
MagicEVO,1,0,0,9,2
MagicEVO,1,0,3,0,1
MagicEVO,0,0,3,1,1
MagicEVO,2,0,0,9,1
MagicEVO,0,0,2,1,2
MagicEVO,9,4,0,1,1
MagicEVO,7,0,0,5,3
MagicEVO,7,0,0,8,0
MagicEVO,0,0,3,2,0
